City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Gwanda,ZW,-20.9333,29.0,60.24,42,0,5.82,clear sky
335,Port Hawkesbury,CA,45.6169,-61.3485,73.58,95,5,8.01,clear sky
336,Kaeo,NZ,-35.1,173.7833,61.32,96,100,7.81,light rain
337,Tiznit,MA,29.5833,-9.5,81.9,27,7,1.41,clear sky
338,Miandrivazo,MG,-19.5167,45.4667,63.93,69,0,2.28,clear sky
339,Lixourion,GR,38.2019,20.4314,77.58,82,10,7.43,clear sky
340,Vostok,RU,46.4856,135.8833,75.87,69,98,1.99,overcast clouds
341,Elko,US,41.0002,-115.5012,78.06,37,92,4.65,light rain
342,Talcahuano,CL,-36.7167,-73.1167,50.68,88,100,5.84,overcast clouds
343,Luderitz,NA,-26.6481,15.1594,54.81,96,94,9.26,overcast clouds
344,Jalna,IN,19.8333,75.8833,75.4,90,100,4.45,overcast clouds
